bydelsnr,bydelsnavn,Kommunenr,Kommunenavn,Fylkenr,Fylkenavn,IMDiRegion,Næringsregionnr,Næringsregion_ navn,Sentralitet_nr_2008,Sentralitet_kat_2008
30101,Gamle Oslo,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30102,Grünerløkka,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30103,Sagene,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30104,St. Hanshaugen,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30105,Frogner,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30106,Ullern,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30107,Veste Aker,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30108,Nordre Aker,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30109,Bjerke,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30110,Grorud,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30111,Stovner,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30112,Alna,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30113,Østensjø,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30114,Nordstrand,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30115,Søndre Nordstrand,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30116,Sentrum,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30117,Marka,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
30199,Uoppgitt bydel Oslo,0301,Oslo kommune,3,Oslo,IMDi Øst,9,Oslo,3,Sentrale kommuner
